Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,284.0mV
Probe attenuation    :,1X
Voltage per ADC value:,0.250000mV
Time interval        :,100.00000us

index,CH1_Voltage(mV)
1,0.000000
2,0.000000
3,-36.000000
4,-28.000000
5,0.000000
6,-64.000000
7,-8.000000
8,-24.000000
9,-12.000000
10,52.000000
11,20.000000
12,16.000000
13,8.000000
14,0.000000
15,-20.000000
16,-4.000000
17,-12.000000
18,-36.000000
19,-8.000000
20,-4.000000
21,12.000000
22,16.000000
23,32.000000
24,-44.000000
25,-12.000000
26,-12.000000
27,-12.000000
28,-12.000000
29,-16.000000
30,-20.000000
31,-8.000000
32,-16.000000
33,12.000000
34,8.000000
35,0.000000
36,8.000000
37,-48.000000
38,12.000000
39,0.000000
40,-28.000000
41,52.000000
42,-36.000000
43,-8.000000
44,12.000000
45,-8.000000
46,60.000000
47,24.000000
48,56.000000
49,0.000000
50,-8.000000
51,-32.000000
52,52.000000
53,-20.000000
54,-16.000000
55,12.000000
56,-8.000000
57,24.000000
58,-12.000000
59,-20.000000
60,4.000000
61,20.000000
62,36.000000
63,-40.000000
64,-56.000000
65,44.000000
66,-8.000000
67,-4.000000
68,-8.000000
69,-8.000000
70,-32.000000
71,16.000000
72,16.000000
73,16.000000
74,16.000000
75,52.000000
76,24.000000
77,12.000000
78,0.000000
79,56.000000
80,84.000000
81,24.000000
82,8.000000
83,0.000000
84,36.000000
85,20.000000
86,20.000000
87,-12.000000
88,-12.000000
89,100.000000
90,76.000000
91,4.000000
92,-8.000000
93,44.000000
94,-44.000000
95,8.000000
96,-4.000000
97,-60.000000
98,0.000000
99,-32.000000
100,4.000000
101,-8.000000
102,0.000000
103,8.000000
104,24.000000
105,-12.000000
106,16.000000
107,72.000000
108,76.000000
109,20.000000
110,16.000000
111,16.000000
112,16.000000
113,12.000000
114,8.000000
115,4.000000
116,20.000000
117,16.000000
118,20.000000
119,12.000000
120,24.000000
121,-20.000000
122,28.000000
123,20.000000
124,-32.000000
125,-8.000000
126,24.000000
127,-16.000000
128,8.000000
129,-12.000000
130,24.000000
131,20.000000
132,-32.000000
133,-44.000000
134,-28.000000
135,60.000000
136,0.000000
137,-40.000000
138,-52.000000
139,20.000000
140,-48.000000
141,16.000000
142,-36.000000
143,-8.000000
144,-4.000000
145,-20.000000
146,-40.000000
147,-12.000000
148,0.000000
149,-28.000000
150,-16.000000
151,-28.000000
152,-8.000000
153,-28.000000
154,-8.000000
155,4.000000
156,-20.000000
157,-32.000000
158,-24.000000
159,-8.000000
160,-16.000000
161,-24.000000
162,-8.000000
163,16.000000
164,-24.000000
165,28.000000
166,28.000000
167,-20.000000
168,-60.000000
169,-36.000000
170,-8.000000
171,-8.000000
172,-16.000000
173,-16.000000
174,0.000000
175,-28.000000
176,16.000000
177,-12.000000
178,-12.000000
179,44.000000
180,24.000000
181,-20.000000
182,56.000000
183,-16.000000
184,0.000000
185,4.000000
186,40.000000
187,-16.000000
188,0.000000
189,24.000000
190,16.000000
191,-20.000000
192,4.000000
193,24.000000
194,-28.000000
195,40.000000
196,0.000000
197,0.000000
198,28.000000
199,16.000000
200,20.000000
201,8.000000
202,-8.000000
203,0.000000
204,20.000000
205,-52.000000
206,20.000000
207,8.000000
208,16.000000
209,-8.000000
210,0.000000
211,12.000000
212,0.000000
213,-4.000000
214,-8.000000
215,0.000000
216,12.000000
217,-20.000000
218,48.000000
219,-8.000000
220,20.000000
221,-16.000000
222,-32.000000
223,0.000000
224,32.000000
225,44.000000
226,16.000000
227,4.000000
228,0.000000
229,36.000000
230,12.000000
231,-12.000000
232,20.000000
233,8.000000
234,24.000000
235,0.000000
236,16.000000
237,-12.000000
238,24.000000
239,-48.000000
240,-8.000000
241,-16.000000
242,-24.000000
243,-8.000000
244,-4.000000
245,32.000000
246,-20.000000
247,-20.000000
248,0.000000
249,-48.000000
250,-60.000000
251,-8.000000
252,0.000000
253,4.000000
254,-40.000000
255,-12.000000
256,-8.000000
257,16.000000
258,24.000000
259,4.000000
260,-8.000000
261,-32.000000
262,-32.000000
263,24.000000
264,-20.000000
265,-32.000000
266,20.000000
267,-40.000000
268,-8.000000
269,20.000000
270,0.000000
271,12.000000
272,24.000000
273,-144.000000
274,0.000000
275,-8.000000
276,-28.000000
277,-32.000000
278,-8.000000
279,-12.000000
280,24.000000
281,-4.000000
282,-8.000000
283,-16.000000
284,-8.000000
285,-32.000000
286,0.000000
287,-28.000000
288,0.000000
289,-8.000000
290,4.000000
291,-32.000000
292,-8.000000
293,-16.000000
294,-16.000000
295,8.000000
296,24.000000
297,4.000000
298,-28.000000
299,0.000000
300,0.000000
301,-16.000000
302,-24.000000
303,16.000000
304,12.000000
305,16.000000
306,-8.000000
307,16.000000
308,12.000000
309,0.000000
310,8.000000
311,-20.000000
312,-20.000000
313,-8.000000
314,-4.000000
315,28.000000
316,32.000000
317,20.000000
318,20.000000
319,0.000000
320,8.000000
321,-8.000000
322,4.000000
323,12.000000
324,24.000000
325,8.000000
326,0.000000
327,0.000000
328,4.000000
329,20.000000
330,16.000000
331,28.000000
332,-8.000000
333,20.000000
334,12.000000
335,-20.000000
336,32.000000
337,-28.000000
338,100.000000
339,0.000000
340,16.000000
341,-12.000000
342,16.000000
343,28.000000
344,-8.000000
345,12.000000
346,0.000000
347,-24.000000
348,-24.000000
349,4.000000
350,-16.000000
351,60.000000
352,-24.000000
353,-60.000000
354,-40.000000
355,-12.000000
356,-12.000000
357,-20.000000
358,-80.000000
359,24.000000
360,24.000000
361,-8.000000
362,-12.000000
363,0.000000
364,8.000000
365,20.000000
366,-16.000000
367,-4.000000
368,-24.000000
369,52.000000
370,-16.000000
371,-12.000000
372,-8.000000
373,-8.000000
374,68.000000
375,-28.000000
376,-4.000000
377,-8.000000
378,-8.000000
379,-12.000000
380,0.000000
381,-12.000000
382,-52.000000
383,-32.000000
384,0.000000
385,4.000000
386,-60.000000
387,-28.000000
388,-28.000000
389,0.000000
390,-28.000000
391,-40.000000
392,-20.000000
393,-32.000000
394,-4.000000
395,-8.000000
396,-28.000000
397,-28.000000
398,-12.000000
399,-32.000000
400,-36.000000
401,-12.000000
402,-32.000000
403,-20.000000
404,-16.000000
405,-16.000000
406,16.000000
407,0.000000
408,0.000000
409,-32.000000
410,-4.000000
411,24.000000
412,44.000000
413,-8.000000
414,-4.000000
415,20.000000
416,28.000000
417,-4.000000
418,-28.000000
419,8.000000
420,112.000000
421,28.000000
422,24.000000
423,-8.000000
424,0.000000
425,0.000000
426,8.000000
427,4.000000
428,36.000000
429,-12.000000
430,40.000000
431,-8.000000
432,-24.000000
433,16.000000
434,0.000000
435,0.000000
436,0.000000
437,-12.000000
438,16.000000
439,0.000000
440,0.000000
441,-8.000000
442,20.000000
443,24.000000
444,40.000000
445,-8.000000
446,28.000000
447,-8.000000
448,16.000000
449,20.000000
450,-48.000000
451,24.000000
452,-64.000000
453,24.000000
454,-44.000000
455,-8.000000
456,-8.000000
457,52.000000
458,4.000000
459,-4.000000
460,-40.000000
461,4.000000
462,0.000000
463,-8.000000
464,-8.000000
465,12.000000
466,-16.000000
467,4.000000
468,-12.000000
469,0.000000
470,-12.000000
471,12.000000
472,8.000000
473,-8.000000
474,-28.000000
475,-16.000000
476,-24.000000
477,12.000000
478,-4.000000
479,-8.000000
480,12.000000
481,0.000000
482,-28.000000
483,-8.000000
484,-32.000000
485,-32.000000
486,-32.000000
487,44.000000
488,-12.000000
489,52.000000
490,-4.000000
491,16.000000
492,-40.000000
493,-28.000000
494,0.000000
495,-20.000000
496,-52.000000
497,-12.000000
498,8.000000
499,-8.000000
500,-20.000000
501,-60.000000
502,28.000000
503,8.000000
504,-16.000000
505,-20.000000
506,-24.000000
507,-40.000000
508,-8.000000
509,-20.000000
510,24.000000
511,-28.000000
512,16.000000
513,-48.000000
514,-32.000000
515,72.000000
516,-20.000000
517,-16.000000
518,-8.000000
519,-28.000000
520,-40.000000
521,0.000000
522,0.000000
523,16.000000
524,-12.000000
525,-8.000000
526,64.000000
527,56.000000
528,-16.000000
529,-64.000000
530,44.000000
531,0.000000
532,-28.000000
533,-8.000000
534,-28.000000
535,-16.000000
536,-16.000000
537,68.000000
538,16.000000
539,0.000000
540,-32.000000
541,-24.000000
542,0.000000
543,12.000000
544,-8.000000
545,0.000000
546,0.000000
547,-20.000000
548,12.000000
549,40.000000
550,12.000000
551,-8.000000
552,12.000000
553,-4.000000
554,40.000000
555,76.000000
556,-4.000000
557,44.000000
558,4.000000
559,-12.000000
560,0.000000
561,0.000000
562,16.000000
563,-8.000000
564,-44.000000
565,-8.000000
566,-8.000000
567,0.000000
568,16.000000
569,24.000000
570,12.000000
571,8.000000
572,-84.000000
573,-8.000000
574,-24.000000
575,-12.000000
576,4.000000
577,-36.000000
578,20.000000
579,-36.000000
580,8.000000
581,4.000000
582,8.000000
583,-32.000000
584,8.000000
585,8.000000
586,24.000000
587,0.000000
588,-8.000000
589,0.000000
590,8.000000
591,44.000000
592,40.000000
593,-4.000000
594,28.000000
595,-4.000000
596,24.000000
597,8.000000
598,32.000000
599,16.000000
600,-36.000000
601,44.000000
602,0.000000
603,44.000000
604,8.000000
605,-16.000000
606,4.000000
607,4.000000
608,0.000000
609,12.000000
610,-28.000000
611,-4.000000
