Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,280.0mV
Probe attenuation    :,1X
Voltage per ADC value:,0.250000mV
Time interval        :,100.00000us

index,CH1_Voltage(mV)
1,-28.000000
2,-28.000000
3,-12.000000
4,16.000000
5,0.000000
6,-64.000000
7,-36.000000
8,4.000000
9,-32.000000
10,0.000000
11,0.000000
12,24.000000
13,4.000000
14,-16.000000
15,-8.000000
16,16.000000
17,-36.000000
18,20.000000
19,-44.000000
20,-16.000000
21,0.000000
22,-4.000000
23,-20.000000
24,-8.000000
25,-8.000000
26,12.000000
27,-32.000000
28,-4.000000
29,-4.000000
30,4.000000
31,-40.000000
32,-20.000000
33,16.000000
34,60.000000
35,64.000000
36,20.000000
37,20.000000
38,-16.000000
39,12.000000
40,20.000000
41,0.000000
42,-4.000000
43,76.000000
44,24.000000
45,-36.000000
46,24.000000
47,8.000000
48,-8.000000
49,4.000000
50,-4.000000
51,4.000000
52,8.000000
53,0.000000
54,-16.000000
55,-20.000000
56,-40.000000
57,0.000000
58,60.000000
59,0.000000
60,-8.000000
61,-8.000000
62,-16.000000
63,-8.000000
64,-12.000000
65,-8.000000
66,-32.000000
67,-12.000000
68,12.000000
69,-12.000000
70,20.000000
71,40.000000
72,-24.000000
73,-8.000000
74,-4.000000
75,0.000000
76,-36.000000
77,-44.000000
78,16.000000
79,28.000000
80,-20.000000
81,16.000000
82,84.000000
83,44.000000
84,-20.000000
85,-16.000000
86,72.000000
87,12.000000
88,8.000000
89,16.000000
90,-16.000000
91,24.000000
92,-4.000000
93,60.000000
94,-8.000000
95,0.000000
96,-8.000000
97,16.000000
98,4.000000
99,-12.000000
100,0.000000
101,-28.000000
102,24.000000
103,-16.000000
104,-20.000000
105,4.000000
106,-60.000000
107,-28.000000
108,-8.000000
109,12.000000
110,-40.000000
111,16.000000
112,-8.000000
113,-20.000000
114,0.000000
115,-8.000000
116,-60.000000
117,-8.000000
118,12.000000
119,-8.000000
120,12.000000
121,-60.000000
122,20.000000
123,-4.000000
124,28.000000
125,4.000000
126,-8.000000
127,-8.000000
128,20.000000
129,-16.000000
130,-8.000000
131,-20.000000
132,-20.000000
133,-24.000000
134,-4.000000
135,-24.000000
136,4.000000
137,64.000000
138,-12.000000
139,12.000000
140,-8.000000
141,-12.000000
142,-28.000000
143,-28.000000
144,-8.000000
145,8.000000
146,0.000000
147,24.000000
148,-16.000000
149,44.000000
150,40.000000
151,-8.000000
152,28.000000
153,-16.000000
154,-20.000000
155,-8.000000
156,-12.000000
157,-8.000000
158,-32.000000
159,-12.000000
160,-8.000000
161,-12.000000
162,24.000000
163,0.000000
164,8.000000
165,-12.000000
166,-8.000000
167,0.000000
168,24.000000
169,-8.000000
170,4.000000
171,0.000000
172,16.000000
173,-12.000000
174,-40.000000
175,-8.000000
176,-4.000000
177,8.000000
178,-8.000000
179,0.000000
180,8.000000
181,56.000000
182,52.000000
183,-12.000000
184,-32.000000
185,-8.000000
186,-20.000000
187,-40.000000
188,28.000000
189,16.000000
190,-12.000000
191,-44.000000
192,8.000000
193,4.000000
194,28.000000
195,-8.000000
196,-12.000000
197,-8.000000
198,0.000000
199,44.000000
200,52.000000
201,-8.000000
202,24.000000
203,44.000000
204,-20.000000
205,-24.000000
206,-44.000000
207,24.000000
208,8.000000
209,8.000000
210,-8.000000
211,-20.000000
212,-32.000000
213,-8.000000
214,-8.000000
215,12.000000
216,4.000000
217,-44.000000
218,-28.000000
219,0.000000
220,0.000000
221,-28.000000
222,16.000000
223,16.000000
224,-16.000000
225,88.000000
226,-36.000000
227,0.000000
228,-68.000000
229,-8.000000
230,12.000000
231,-40.000000
232,0.000000
233,16.000000
234,-12.000000
235,0.000000
236,0.000000
237,60.000000
238,8.000000
239,12.000000
240,0.000000
241,8.000000
242,-20.000000
243,-40.000000
244,-8.000000
245,0.000000
246,12.000000
247,-44.000000
248,16.000000
249,-16.000000
250,44.000000
251,-48.000000
252,4.000000
253,52.000000
254,-8.000000
255,-12.000000
256,-36.000000
257,16.000000
258,0.000000
259,-8.000000
260,-4.000000
261,0.000000
262,56.000000
263,-12.000000
264,-60.000000
265,0.000000
266,12.000000
267,28.000000
268,-40.000000
269,-8.000000
270,24.000000
271,-16.000000
272,0.000000
273,-12.000000
274,68.000000
275,0.000000
276,-8.000000
277,-8.000000
278,64.000000
279,0.000000
280,-32.000000
281,-16.000000
282,-8.000000
283,56.000000
284,-24.000000
285,-4.000000
286,-44.000000
287,0.000000
288,0.000000
289,-36.000000
290,-8.000000
291,56.000000
292,-4.000000
293,0.000000
294,-8.000000
295,-4.000000
296,12.000000
297,-8.000000
298,0.000000
299,20.000000
300,-8.000000
301,-8.000000
302,-12.000000
303,0.000000
304,28.000000
305,-8.000000
306,-4.000000
307,-52.000000
308,16.000000
309,0.000000
310,-20.000000
311,-8.000000
312,8.000000
313,-20.000000
314,-12.000000
315,-16.000000
316,0.000000
317,16.000000
318,20.000000
319,-16.000000
320,0.000000
321,-32.000000
322,-4.000000
323,-40.000000
324,4.000000
325,0.000000
326,8.000000
327,0.000000
328,-12.000000
329,-12.000000
330,-12.000000
331,-12.000000
332,60.000000
333,-16.000000
334,-12.000000
335,0.000000
336,12.000000
337,4.000000
338,44.000000
339,28.000000
340,0.000000
341,0.000000
342,4.000000
343,0.000000
344,8.000000
345,36.000000
346,-4.000000
347,20.000000
348,-8.000000
349,-32.000000
350,-8.000000
351,20.000000
352,-20.000000
353,-16.000000
354,-8.000000
355,24.000000
356,52.000000
357,-16.000000
358,20.000000
359,-20.000000
360,-12.000000
361,0.000000
362,0.000000
363,-40.000000
364,0.000000
365,0.000000
366,-28.000000
367,0.000000
368,8.000000
369,4.000000
370,-84.000000
371,12.000000
372,-8.000000
373,-32.000000
374,-16.000000
375,-52.000000
376,-16.000000
377,-12.000000
378,-4.000000
379,-48.000000
380,44.000000
381,-8.000000
382,-8.000000
383,0.000000
384,-8.000000
385,4.000000
386,-16.000000
387,-4.000000
388,-24.000000
389,0.000000
390,12.000000
391,-32.000000
392,12.000000
393,16.000000
394,0.000000
395,0.000000
396,0.000000
397,-40.000000
398,-28.000000
399,24.000000
400,0.000000
401,16.000000
402,-24.000000
403,-52.000000
404,-8.000000
405,44.000000
406,56.000000
407,0.000000
408,4.000000
409,0.000000
410,4.000000
411,0.000000
412,-16.000000
413,12.000000
414,-72.000000
415,-44.000000
416,8.000000
417,32.000000
418,64.000000
419,-28.000000
420,-60.000000
421,-12.000000
422,0.000000
423,-8.000000
424,-8.000000
425,-8.000000
426,-8.000000
427,-28.000000
428,-12.000000
429,52.000000
430,0.000000
431,-4.000000
432,-20.000000
433,-40.000000
434,20.000000
435,0.000000
436,-28.000000
437,-28.000000
438,-32.000000
439,-12.000000
440,-16.000000
441,-48.000000
442,0.000000
443,-8.000000
444,-72.000000
445,-52.000000
446,-24.000000
447,-24.000000
448,44.000000
449,-40.000000
450,0.000000
451,-20.000000
452,0.000000
453,4.000000
454,-16.000000
455,84.000000
456,0.000000
457,0.000000
458,-4.000000
459,-40.000000
460,16.000000
461,0.000000
462,-20.000000
463,-16.000000
464,24.000000
465,4.000000
466,12.000000
467,-44.000000
468,16.000000
469,-8.000000
470,-12.000000
471,-32.000000
472,-32.000000
473,4.000000
474,-28.000000
475,16.000000
476,-44.000000
477,-20.000000
478,100.000000
479,24.000000
480,24.000000
481,-8.000000
482,40.000000
483,-20.000000
484,4.000000
485,-32.000000
486,-8.000000
487,-8.000000
488,-44.000000
489,8.000000
490,0.000000
491,0.000000
492,0.000000
493,44.000000
494,0.000000
495,-24.000000
496,32.000000
497,4.000000
498,16.000000
499,-36.000000
500,16.000000
501,-12.000000
502,24.000000
503,12.000000
504,-4.000000
505,-16.000000
506,-12.000000
507,-8.000000
508,20.000000
509,-12.000000
510,-8.000000
511,0.000000
512,-4.000000
513,-8.000000
514,-4.000000
515,4.000000
516,0.000000
517,-16.000000
518,-16.000000
519,-16.000000
520,0.000000
521,-8.000000
522,32.000000
523,-4.000000
524,44.000000
525,64.000000
526,-8.000000
527,40.000000
528,56.000000
529,-16.000000
530,-44.000000
531,32.000000
532,-20.000000
533,0.000000
534,0.000000
535,-36.000000
536,16.000000
537,-8.000000
538,64.000000
539,64.000000
540,-8.000000
541,-4.000000
542,4.000000
543,16.000000
544,16.000000
545,-24.000000
546,8.000000
547,-20.000000
548,-8.000000
549,-8.000000
550,44.000000
551,-8.000000
552,52.000000
553,-24.000000
554,0.000000
555,24.000000
556,-28.000000
557,8.000000
558,-8.000000
559,-28.000000
560,0.000000
561,-16.000000
562,-32.000000
563,-20.000000
564,44.000000
565,52.000000
566,-4.000000
567,-20.000000
568,-8.000000
569,4.000000
570,28.000000
571,-4.000000
572,-28.000000
573,44.000000
574,-12.000000
575,28.000000
576,52.000000
577,-52.000000
578,-12.000000
579,-4.000000
580,-48.000000
581,-4.000000
582,0.000000
583,-4.000000
584,12.000000
585,12.000000
586,24.000000
587,24.000000
588,-8.000000
589,-12.000000
590,-12.000000
591,-12.000000
592,-60.000000
593,-8.000000
594,-16.000000
595,-16.000000
596,-32.000000
597,0.000000
598,44.000000
599,24.000000
600,12.000000
601,-8.000000
602,-12.000000
603,-52.000000
604,4.000000
605,-24.000000
606,-8.000000
607,0.000000
608,-32.000000
