Channel              :,CH2
Frequency            :,  ?
Period               :,  ?
PK-PK                :,82.00mV
Probe attenuation    :,1X
Voltage per ADC value:,0.250000mV
Time interval        :,20.00000us

index,CH2_Voltage(mV)
1,152.000000
2,152.000000
3,212.000000
4,192.000000
5,188.000000
6,188.000000
7,188.000000
8,184.000000
9,236.000000
10,196.000000
11,160.000000
12,200.000000
13,276.000000
14,204.000000
15,216.000000
16,216.000000
17,224.000000
18,208.000000
19,156.000000
20,192.000000
21,192.000000
22,212.000000
23,204.000000
24,212.000000
25,248.000000
26,220.000000
27,236.000000
28,236.000000
29,216.000000
30,216.000000
31,216.000000
32,232.000000
33,236.000000
34,176.000000
35,224.000000
36,192.000000
37,236.000000
38,232.000000
39,220.000000
40,220.000000
41,220.000000
42,244.000000
43,192.000000
44,200.000000
45,212.000000
46,196.000000
47,212.000000
48,184.000000
49,208.000000
50,216.000000
51,212.000000
52,176.000000
53,208.000000
54,204.000000
55,224.000000
56,184.000000
57,208.000000
58,204.000000
59,208.000000
60,208.000000
61,224.000000
62,204.000000
63,200.000000
64,192.000000
65,204.000000
66,192.000000
67,200.000000
68,196.000000
69,204.000000
70,192.000000
71,208.000000
72,272.000000
73,192.000000
74,160.000000
75,236.000000
76,204.000000
77,196.000000
78,204.000000
79,200.000000
80,220.000000
81,232.000000
82,204.000000
83,200.000000
84,196.000000
85,216.000000
86,184.000000
87,196.000000
88,228.000000
89,204.000000
90,192.000000
91,192.000000
92,204.000000
93,252.000000
94,204.000000
95,184.000000
96,204.000000
97,168.000000
98,184.000000
99,180.000000
100,204.000000
101,208.000000
102,216.000000
103,180.000000
104,196.000000
105,196.000000
106,196.000000
107,196.000000
108,196.000000
109,208.000000
110,204.000000
111,228.000000
112,224.000000
113,224.000000
114,204.000000
115,216.000000
116,228.000000
117,236.000000
118,208.000000
119,236.000000
120,196.000000
121,208.000000
122,200.000000
123,200.000000
124,200.000000
125,204.000000
126,172.000000
127,192.000000
128,204.000000
129,208.000000
130,224.000000
131,204.000000
132,196.000000
133,188.000000
134,176.000000
135,176.000000
136,212.000000
137,168.000000
138,272.000000
139,236.000000
140,176.000000
141,232.000000
142,208.000000
143,216.000000
144,208.000000
145,200.000000
146,212.000000
147,228.000000
148,196.000000
149,200.000000
150,184.000000
151,224.000000
152,236.000000
153,212.000000
154,224.000000
155,220.000000
156,208.000000
157,208.000000
158,224.000000
159,244.000000
160,168.000000
161,208.000000
162,184.000000
163,208.000000
164,204.000000
165,188.000000
166,176.000000
167,212.000000
168,212.000000
169,216.000000
170,204.000000
171,204.000000
172,204.000000
173,200.000000
174,192.000000
175,224.000000
176,204.000000
177,188.000000
178,212.000000
179,212.000000
180,200.000000
181,204.000000
182,200.000000
183,192.000000
184,208.000000
185,200.000000
186,216.000000
187,220.000000
188,200.000000
189,184.000000
190,176.000000
191,196.000000
192,212.000000
193,220.000000
194,200.000000
195,204.000000
196,208.000000
197,224.000000
198,212.000000
199,196.000000
200,204.000000
201,164.000000
202,220.000000
203,224.000000
204,196.000000
205,196.000000
206,208.000000
207,204.000000
208,200.000000
209,204.000000
210,220.000000
211,244.000000
212,212.000000
213,232.000000
214,224.000000
215,220.000000
216,216.000000
217,188.000000
218,204.000000
219,180.000000
220,200.000000
221,208.000000
222,136.000000
223,224.000000
224,192.000000
225,204.000000
226,204.000000
227,192.000000
228,220.000000
229,200.000000
230,176.000000
231,208.000000
232,204.000000
233,188.000000
234,212.000000
235,212.000000
236,212.000000
237,208.000000
238,224.000000
239,176.000000
240,196.000000
241,188.000000
242,188.000000
243,172.000000
244,184.000000
245,196.000000
246,176.000000
247,192.000000
248,208.000000
249,208.000000
250,180.000000
251,188.000000
252,196.000000
253,216.000000
254,184.000000
255,184.000000
256,200.000000
257,200.000000
258,192.000000
259,192.000000
260,208.000000
261,204.000000
262,188.000000
263,292.000000
264,264.000000
265,212.000000
266,220.000000
267,200.000000
268,244.000000
269,244.000000
270,208.000000
271,208.000000
272,208.000000
273,196.000000
274,228.000000
275,204.000000
276,184.000000
277,160.000000
278,156.000000
279,216.000000
280,208.000000
281,200.000000
282,192.000000
283,188.000000
284,224.000000
285,224.000000
286,200.000000
287,176.000000
288,160.000000
289,184.000000
290,204.000000
291,168.000000
292,120.000000
293,212.000000
294,224.000000
295,176.000000
296,252.000000
297,176.000000
298,220.000000
299,232.000000
300,220.000000
301,216.000000
302,220.000000
303,192.000000
304,188.000000
305,196.000000
306,220.000000
307,224.000000
308,216.000000
309,224.000000
310,208.000000
311,208.000000
312,212.000000
313,220.000000
314,212.000000
315,216.000000
316,184.000000
317,216.000000
318,204.000000
319,188.000000
320,208.000000
321,208.000000
322,188.000000
323,192.000000
324,224.000000
325,228.000000
326,188.000000
327,236.000000
328,192.000000
329,208.000000
330,192.000000
331,204.000000
332,204.000000
333,192.000000
334,192.000000
335,180.000000
336,216.000000
337,212.000000
338,220.000000
339,216.000000
340,220.000000
341,204.000000
342,176.000000
343,192.000000
344,204.000000
345,208.000000
346,200.000000
347,176.000000
348,188.000000
349,192.000000
350,180.000000
351,264.000000
352,196.000000
353,224.000000
354,208.000000
355,184.000000
356,200.000000
357,212.000000
358,156.000000
359,176.000000
360,184.000000
361,200.000000
362,196.000000
363,156.000000
364,208.000000
365,208.000000
366,244.000000
367,184.000000
368,196.000000
369,192.000000
370,168.000000
371,244.000000
372,176.000000
373,196.000000
374,216.000000
375,176.000000
376,192.000000
377,200.000000
378,212.000000
379,208.000000
380,228.000000
381,204.000000
382,220.000000
383,220.000000
384,208.000000
385,212.000000
386,204.000000
387,204.000000
388,196.000000
389,196.000000
390,180.000000
391,168.000000
392,204.000000
393,184.000000
394,188.000000
395,184.000000
396,184.000000
397,192.000000
398,192.000000
399,200.000000
400,224.000000
401,184.000000
402,188.000000
403,188.000000
404,200.000000
405,224.000000
406,204.000000
407,200.000000
408,196.000000
409,192.000000
410,224.000000
411,180.000000
412,220.000000
413,204.000000
414,204.000000
415,200.000000
416,208.000000
417,196.000000
418,216.000000
419,168.000000
420,164.000000
421,192.000000
422,192.000000
423,176.000000
424,172.000000
425,256.000000
426,208.000000
427,204.000000
428,208.000000
429,204.000000
430,196.000000
431,196.000000
432,180.000000
433,196.000000
434,204.000000
435,184.000000
436,216.000000
437,176.000000
438,176.000000
439,244.000000
440,224.000000
441,200.000000
442,200.000000
443,192.000000
444,232.000000
445,184.000000
446,212.000000
447,200.000000
448,196.000000
449,232.000000
450,208.000000
451,216.000000
452,216.000000
453,220.000000
454,216.000000
455,176.000000
456,208.000000
457,200.000000
458,164.000000
459,200.000000
460,184.000000
461,188.000000
462,196.000000
463,220.000000
464,212.000000
465,184.000000
466,208.000000
467,204.000000
468,204.000000
469,192.000000
470,192.000000
471,192.000000
472,224.000000
473,256.000000
474,212.000000
475,204.000000
476,240.000000
477,188.000000
478,200.000000
479,204.000000
480,200.000000
481,188.000000
482,192.000000
483,220.000000
484,148.000000
485,236.000000
486,232.000000
487,176.000000
488,120.000000
489,216.000000
490,176.000000
491,212.000000
492,284.000000
493,176.000000
494,176.000000
495,224.000000
496,196.000000
497,176.000000
498,188.000000
499,204.000000
500,208.000000
501,176.000000
502,208.000000
503,208.000000
504,208.000000
505,184.000000
506,192.000000
507,236.000000
508,204.000000
509,188.000000
510,216.000000
511,196.000000
512,204.000000
513,208.000000
514,232.000000
515,192.000000
516,204.000000
517,204.000000
518,264.000000
519,216.000000
520,212.000000
521,216.000000
522,188.000000
523,240.000000
524,192.000000
525,196.000000
526,188.000000
527,196.000000
528,184.000000
529,188.000000
530,112.000000
531,192.000000
532,216.000000
533,204.000000
534,200.000000
535,196.000000
536,232.000000
537,228.000000
538,188.000000
539,196.000000
540,208.000000
541,204.000000
542,196.000000
543,236.000000
544,196.000000
545,204.000000
546,192.000000
547,204.000000
548,184.000000
549,212.000000
550,212.000000
551,208.000000
552,224.000000
553,224.000000
554,196.000000
555,196.000000
556,236.000000
557,204.000000
558,228.000000
559,204.000000
560,240.000000
561,184.000000
562,216.000000
563,196.000000
564,288.000000
565,176.000000
566,220.000000
567,232.000000
568,180.000000
569,196.000000
570,200.000000
571,200.000000
572,200.000000
573,192.000000
574,204.000000
575,208.000000
576,184.000000
577,220.000000
578,212.000000
579,196.000000
580,212.000000
581,192.000000
582,192.000000
583,224.000000
584,200.000000
585,200.000000
586,208.000000
587,212.000000
588,208.000000
589,208.000000
590,216.000000
591,184.000000
592,200.000000
593,196.000000
594,156.000000
595,156.000000
596,208.000000
597,200.000000
598,212.000000
599,188.000000
600,196.000000
601,212.000000
602,196.000000
603,224.000000
604,236.000000
605,188.000000
606,216.000000
607,244.000000
608,216.000000
609,232.000000
610,196.000000
611,232.000000
612,232.000000
613,176.000000
614,216.000000
615,176.000000
616,200.000000
617,204.000000
618,200.000000
619,196.000000
620,204.000000
621,244.000000
622,184.000000
623,220.000000
624,204.000000
625,232.000000
626,236.000000
627,204.000000
628,168.000000
629,224.000000
630,192.000000
631,200.000000
632,192.000000
633,224.000000
634,200.000000
635,200.000000
636,220.000000
637,220.000000
638,236.000000
639,204.000000
640,236.000000
641,236.000000
642,212.000000
643,224.000000
644,216.000000
645,236.000000
646,216.000000
647,212.000000
648,208.000000
649,208.000000
650,224.000000
651,184.000000
652,188.000000
653,204.000000
654,196.000000
